name,material,color,brand,style,event_type,description,price
Balo vải canvas,Canvas,Be,Fjällräven,Casual,Du lịch,"Balo Fjällräven chất liệu canvas bền bỉ, phù hợp cho những chuyến đi xa hoặc sử dụng hằng ngày.",1200
Áo cardigan len,Len Merino,Xanh rêu,Uniqlo,Minimalist,Mùa thu,"Áo cardigan Uniqlo chất len Merino mềm mại, giữ ấm tốt trong tiết trời thu se lạnh.",680
Quần jogger thể thao,Polyester co giãn,Xám nhạt,Nike,Athleisure,Tập gym,"Quần jogger Nike phù hợp cho tập luyện và cả mặc hàng ngày với thiết kế thoải mái.",1050
Đầm xòe ren,Ren cao cấp,Đỏ,Valentino,Sang trọng,Dạ tiệc,"Đầm xòe ren Valentino với thiết kế nữ tính, giúp nàng nổi bật trong mọi buổi tiệc.",3200
Kính mát thời trang,Nhựa acetate,Đen,Ray-Ban,Streetwear,Dạo phố,"Kính mát Ray-Ban phong cách thời trang, bảo vệ mắt và tạo điểm nhấn cá tính.",950
Áo len cổ lọ,Len cashmere,Nâu,Massimo Dutti,Thanh lịch,Mùa đông,"Áo len cổ lọ Massimo Dutti mang đến vẻ thanh lịch và giữ ấm tốt cho mùa đông lạnh.",860
Túi đeo chéo nam,Da PU,Đen,Coach,Casual,Dạo phố,"Túi đeo chéo Coach nhỏ gọn, tiện lợi để đựng các vật dụng cá nhân khi ra ngoài.",1100
Áo sát nách thể thao,Vải thể thao co giãn,Trắng,Under Armour,Thể thao,Tập gym,"Áo sát nách Under Armour giúp thấm hút mồ hôi tốt, lý tưởng cho những buổi tập luyện.",540
Giày cao gót nữ,Da tổng hợp,Nude,Jimmy Choo,Sang trọng,Công sở,"Giày cao gót Jimmy Choo với thiết kế sang trọng, phù hợp cho công sở và các sự kiện lớn.",2800
Quần legging yoga,Spandex,Tím,Lululemon,Athleisure,Yoga,"Quần legging Lululemon có độ co giãn cao, giúp thoải mái vận động khi tập yoga.",970
